id,name,pop,lat,lon
71,Asansol,515200,23.69,86.98
72,Ajmer,514000,26.45,74.64
73,Kolhapur,514000,16.7,74.22
74,Ulhasnagar,501100,19.23,73.15
75,Shiliguri,498200,26.73,88.42
76,Saharanpur,479800,29.97,77.54
77,Dehra dun,474400,30.34,78.05
78,Jamnagar,474300,22.47,70.07
79,Bhatpara,468200,22.89,88.42
80,Sangli-miraj,462600,16.86,74.57
81,Kozhikkod,462500,11.26,75.78
82,Nanded,456200,19.17,77.29
83,Ujjain,455500,23.19,75.78
84,Gulbarga,453400,17.34,76.82
85,Tirunelveli,435700,8.73,77.69
86,Malegaon,433500,20.56,74.52
87,Akola,423800,20.71,77
88,Belgaum,423400,15.86,74.5
89,Mangaluru,422400,12.88,74.84
90,Bokaro,417600,23.78,85.96
91,South dum dum,415500,22.61,88.41
92,Udaipur,412500,24.58,73.69
93,Maheshtala,412300,22.51,88.23
94,Gaya,406000,24.81,85
95,Jhansi,406000,25.45,78.56
96,Nellur,401500,14.46,79.98
97,Jammu,400900,32.71,74.85
98,Jalgaon,390500,21.01,75.56
99,Davanagere,385400,14.46,75.92
100,Kollam,382900,8.89,76.58
101,Panihati,369100,22.69,88.37
102,Tiruppur,367100,11.09,77.35
103,Dhule,361800,20.9,74.77
104,Bhagalpur,360600,25.26,86.98
105,Rajpur,356400,22.44,88.44
106,Thrissur,336300,10.52,76.21
107,Bellary,335800,15.14,76.91
108,Muzaffarnagar,335300,29.48,77.69
109,Korba,334500,22.35,82.69
110,Kamarhati,333000,22.67,88.37
111,Rajamahendri,332000,17.02,81.79
112,Ahmadnagar,325700,19.1,74.74
113,Muzaffarpur,323600,26.13,85.38
114,Patiala,320900,30.32,76.39
115,Ambattur,320500,13.11,80.17
116,Latur,317600,18.41,76.58
117,Mathura,316600,27.5,77.68
118,Shahjahanpur,315600,27.88,79.9
119,Chandrapur,315300,19.96,79.3
120,Ni dilli,312300,28.6,77.22
121,Noida,311400,28.58,77.33
122,Kukatpalle,307900,17.49,78.41
123,Kulti,307300,23.72,86.89
124,Kakinada,307200,16.96,82.24
125,Brahmapur,306900,19.32,84.8
126,Nizamabad,304000,18.68,78.1
127,Rohtak,303800,28.9,76.58
128,Barddhaman,302900,23.24,87.86
129,Rampur,298300,28.82,79.02
130,Bhilwara,296800,25.35,74.63
131,Firozabad,295400,27.15,78.39
132,Shimoga,290400,13.93,75.57
133,Rajarhat gopalpur,287900,22.52,88.27
134,Karnul,283700,15.83,78.03
135,Darbhanga,282700,26.16,85.88
136,Bilaspur,280900,22.09,82.15
137,Dasarahalli,279300,13.01,77.49
138,Lalbahadur nagar,277600,17.43,78.5
139,Panipat,277200,29.39,76.96
140,Bally,277100,22.65,88.35
